Active Cores,Bandwidth (MB/s),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,8682.967773,c,r,262144,2,c,r,262144,2,15
0,8681.761719,c,r,262144,2,c,r,262144,2,21
0,8718.699219,c,r,262144,2,c,r,262144,2,28
0,8677.542969,c,r,262144,2,c,r,262144,2,17
0,8690.211914,c,r,262144,2,c,r,262144,2,5
0,8689.00293,c,r,262144,2,c,r,262144,2,29
0,8692.628906,c,r,262144,2,c,r,262144,2,16
0,8657.109375,c,r,262144,2,c,r,262144,2,4
0,8682.967773,c,r,262144,2,c,r,262144,2,20
0,8704.735352,c,r,262144,2,c,r,262144,2,30
0,8692.024414,c,r,262144,2,c,r,262144,2,8
0,8698.072266,c,r,262144,2,c,r,262144,2,25
0,8672.725586,c,r,262144,2,c,r,262144,2,13
0,8688.399414,c,r,262144,2,c,r,262144,2,1
0,8692.628906,c,r,262144,2,c,r,262144,2,12
0,8681.761719,c,r,262144,2,c,r,262144,2,9
0,8700.494141,c,r,262144,2,c,r,262144,2,24
0,8664.910156,c,r,262144,2,c,r,262144,2,2
0,8693.837891,c,r,262144,2,c,r,262144,2,10
0,8673.328125,c,r,262144,2,c,r,262144,2,19
0,8702.311523,c,r,262144,2,c,r,262144,2,26
0,8691.419922,c,r,262144,2,c,r,262144,2,18
0,8648.723633,c,r,262144,2,c,r,262144,2,27
0,8711.40918,c,r,262144,2,c,r,262144,2,3
0,8699.283203,c,r,262144,2,c,r,262144,2,11
0,8951.589844,c,w,262144,2,c,r,262144,2,12
0,8926.020508,c,w,262144,2,c,r,262144,2,24
0,8927.295898,c,w,262144,2,c,r,262144,2,6
0,8993.452148,c,w,262144,2,c,r,262144,2,25
0,8898.063477,c,w,262144,2,c,r,262144,2,7
0,8922.198242,c,w,262144,2,c,r,262144,2,13
0,8905.037109,c,w,262144,2,c,r,262144,2,27
0,8924.109375,c,w,262144,2,c,r,262144,2,5
0,8936.870117,c,w,262144,2,c,r,262144,2,18
0,8879.732422,c,w,262144,2,c,r,262144,2,11
0,8941.984375,c,w,262144,2,c,r,262144,2,10
0,8923.472656,c,w,262144,2,c,r,262144,2,26
0,8908.209961,c,w,262144,2,c,r,262144,2,4
0,8974.727539,c,w,262144,2,c,r,262144,2,19
0,8963.786133,c,w,262144,2,c,r,262144,2,1
0,8906.94043,c,w,262144,2,c,r,262144,2,23
0,8940.06543,c,w,262144,2,c,r,262144,2,15
0,8926.658203,c,w,262144,2,c,r,262144,2,8
0,8957.363281,c,w,262144,2,c,r,262144,2,14
0,8986.987305,c,w,262144,2,c,r,262144,2,9
